Title,Description,Instructor,Rating,Price,Details,Page
"Ultimate AWS Certified Solutions Architect Associate 2026
Full Practice Exam | Learn Cloud Computing | Pass the AWS Certified Solutions Architect Associate Certification SAA-C03!",Full Practice Exam | Learn Cloud Computing | Pass the AWS Certified Solutions Architect Associate Certification SAA-C03!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","Rating: 4.7 out of 5
4.7
(284,237)","Current price
$89.99","27 total hours
398 lectures
All Levels",1
"[NEW] Ultimate AWS Certified Cloud Practitioner CLF-C02 2026
Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C02 exam!",Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C02 exam!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","Rating: 4.7 out of 5
4.7
(283,029)","Current price
$89.99","14.5 total hours
282 lectures
Beginner",1
"Master Microsoft Azure Fundamentals: AZ-900 Exam Prep 2025
Comprehensive AZ-900 Training with Practice Tests, Study Guides, and More for Microsoft Azure Certification Success","Comprehensive AZ-900 Training with Practice Tests, Study Guides, and More for Microsoft Azure Certification Success","Scott Duffy • 1.000.000+ Students, Software Architect.ca","Rating: 4.6 out of 5
4.6
(137,995)","Current price
$79.99","8.5 total hours
87 lectures
Beginner",1
"Ultimate AWS Certified Developer Associate 2026 DVA-C02
Full Practice Exam with Explanations included! PASS the Amazon Web Services Certified Developer Certification DVA-C02",Full Practice Exam with Explanations included! PASS the Amazon Web Services Certified Developer Certification DVA-C02,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","Rating: 4.7 out of 5
4.7
(120,868)","Current price
$79.99","32 total hours
454 lectures
All Levels",1
"CompTIA Security+ (SY0-701) Complete Course & Practice Exam
CompTIA Security+ (SY0-701) Bootcamp - Your preparation for the world's best cybersecurity certification!",CompTIA Security+ (SY0-701) Bootcamp - Your preparation for the world's best cybersecurity certification!,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","Rating: 4.7 out of 5
4.7
(115,138)","Current price
$79.99","31 total hours
264 lectures
All Levels",1
"Introduction to Service Management with ITIL 4
Learn about service management, four dimensions, guiding principles, service value system, and ITSM best practices","Learn about service management, four dimensions, guiding principles, service value system, and ITSM best practices","Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Jason Dion • 2.8 Million+ Enrollments Worldwide","Rating: 4.5 out of 5
4.5
(107,699)","Current price
$74.99","2 total hours
24 lectures
Beginner",1
"Certified Kubernetes Administrator (CKA) with Practice Tests
Prepare for the Certified Kubernetes Administrators Certification with live practice tests right in your browser - CKA",Prepare for the Certified Kubernetes Administrators Certification with live practice tests right in your browser - CKA,"Mumshad Mannambeth, KodeKloud Training","Rating: 4.7 out of 5
4.7
(89,873)","Current price
$79.99","26 total hours
324 lectures
All Levels",1
"TOTAL: CompTIA A+ Core 1 (220-1201) Course + Practice Exam
Everything you need to pass A+ Certification Core 1 (220-1201) Exam, Mike Meyers and Total Seminars!","Everything you need to pass A+ Certification Core 1 (220-1201) Exam, Mike Meyers and Total Seminars!","Total Seminars Over 1 Million Enrollments, Mike Meyers, Dakota Snow","Rating: 4.6 out of 5
4.6
(87,893)","Current price
$19.99","20.5 total hours
153 lectures
All Levels",1
"Cisco CCNA 200-301 – The Complete Guide to Getting Certified
The top rated CCNA course online with comprehensive videos, lab exercises, study notes, Anki flashcards and active Q&amp;A","The top rated CCNA course online with comprehensive videos, lab exercises, study notes, Anki flashcards and active Q&A",Neil Anderson,"Rating: 4.8 out of 5
4.8
(85,794)","Current price
$79.99","42.5 total hours
326 lectures
Beginner",1
"AZ-900 Microsoft Azure Fundamentals
Beginner's guide to Microsoft Azure",Beginner's guide to Microsoft Azure,Alan Rodrigues,"Rating: 4.5 out of 5
4.5
(65,775)","Current price
$79.99","14.5 total hours
200 lectures
Beginner",1
"The Complete Networking Fundamentals Course. Your CCNA start
Learn about networking and start your journey to Cisco 200-301 Certification.",Learn about networking and start your journey to Cisco 200-301 Certification.,David Bombal,"Rating: 4.7 out of 5
4.7
(56,416)","Current price
$79.99","73 total hours
580 lectures
Beginner",1
"AZ-104 Microsoft Azure Administrator - Complete Exam Prep
AZ-104 certification prep covering identity, networking, storage, compute & monitoring","AZ-104 certification prep covering identity, networking, storage, compute & monitoring","Scott Duffy • 1.000.000+ Students, Software Architect.ca","Rating: 4.5 out of 5
4.5
(55,717)","Current price
$79.99","15 total hours
182 lectures
Intermediate",1
"The Complete Oracle SQL Certification Course
Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!","Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",Job Ready Programmer,"Rating: 4.6 out of 5
4.6
(54,797)","Current price
$109.99","17 total hours
79 lectures
All Levels",1
"Six Sigma: Certified Lean Six Sigma White Belt (Accredited)
Six Sigma White Belt Certification (Accredited) | Six Sigma White Belt & Seven Basic Tools of Quality (Earn PDUs | CPDs)",Six Sigma White Belt Certification (Accredited) | Six Sigma White Belt & Seven Basic Tools of Quality (Earn PDUs | CPDs),Advanced Innovation Group Pro Excellence (AIGPE),"Rating: 4.6 out of 5
4.6
(52,797)","Current price
$79.99","2.5 total hours
36 lectures
Beginner",1
"AZ-900 Microsoft Azure Fundamentals in a Weekend
PASS AZ-900 in a WEEKEND. GET Azure Certification - Microsoft Azure Fundamentals.",PASS AZ-900 in a WEEKEND. GET Azure Certification - Microsoft Azure Fundamentals.,"in28Minutes Official, Open Cloud Solutions | Microsoft Azure Certification - AZ 900","Rating: 4.6 out of 5
4.6
(47,414)","Current price
$109.99","11.5 total hours
216 lectures
Beginner",1
"CompTIA A+ Core 1 (220-1201) Full Course & Practice Exam
Pass the CompTIA A+ Core 1 (220-1201) exam with help from a top expert in the field!",Pass the CompTIA A+ Core 1 (220-1201) exam with help from a top expert in the field!,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","Rating: 4.7 out of 5
4.7
(42,308)","Current price
$59.99","26 total hours
219 lectures
All Levels",1
"[NEW] Ultimate AWS Certified AI Practitioner AIF-C01
Practice Exam included + explanations | Learn Artificial Intelligence | Pass the AWS AI Practitioner AIF-C01 exam!",Practice Exam included + explanations | Learn Artificial Intelligence | Pass the AWS AI Practitioner AIF-C01 exam!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","Rating: 4.7 out of 5
4.7
(40,483)","Current price
$34.99","10.5 total hours
150 lectures
Beginner",2
"AWS Certified Cloud Practitioner (CLF-C02) Exam Training
[2026] Earn your AWS Certified Cloud Practitioner Certification in 20 Days! Hands-on Exercises + AWS Bonus Practice Exam",[2026] Earn your AWS Certified Cloud Practitioner Certification in 20 Days! Hands-on Exercises + AWS Bonus Practice Exam,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate","Rating: 4.7 out of 5
4.7
(39,119)","Current price
$74.99","14 total hours
202 lectures
Beginner",2
"6 Practice Exams | AWS Certified Cloud Practitioner CLF-C02
Prepare the AWS Certified Cloud Practitioner CLF-C02. 390 unique high-quality test questions with detailed explanations!",Prepare the AWS Certified Cloud Practitioner CLF-C02. 390 unique high-quality test questions with detailed explanations!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh","Rating: 4.6 out of 5
4.6
(38,506)","Current price
$74.99","390 questions
Beginner",2
"CompTIA Network+ (N10-009) Full Course & Practice Exam
CompTIA Network+ (N10-009) Bootcamp - Certification preparation course on the most popular networking certification!",CompTIA Network+ (N10-009) Bootcamp - Certification preparation course on the most popular networking certification!,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","Rating: 4.7 out of 5
4.7
(38,426)","Current price
$59.99","32.5 total hours
258 lectures
Beginner",2
"TOTAL: CompTIA Security+ Course + Practice Exam SY0-701
Everything you need to pass the CompTIA Security+ (SY0-701) exam from Mike Meyers, Dan Lachance, and Lyndon Williams!","Everything you need to pass the CompTIA Security+ (SY0-701) exam from Mike Meyers, Dan Lachance, and Lyndon Williams!","Total Seminars Over 1 Million Enrollments, Mike Meyers, Lyndon WIlliams, Dan Lachance","Rating: 4.5 out of 5
4.5
(37,678)","Current price
$19.99","20.5 total hours
182 lectures
All Levels",2
"Complete Salesforce Certified Platform Administrator Course
Most In-Depth and Current Admin Course - Best Selling Platform Administrator Course Includes ChatGPT Prompt Library",Most In-Depth and Current Admin Course - Best Selling Platform Administrator Course Includes ChatGPT Prompt Library,"Rapid Reskill by Mike Wheeler, Aaron Wheeler, Evan Wheeler, Ezekiel Wheeler, Aiden Wheeler","Rating: 4.6 out of 5
4.6
(37,081)","Current price
$69.99","39.5 total hours
534 lectures
All Levels",2
"PL-300 certification prep: Microsoft Power BI Data Analyst
Learn skills for Microsoft PL-300 certification using the free Power BI Desktop. Power Query, DAX, M. Helps with DP-600","Learn skills for Microsoft PL-300 certification using the free Power BI Desktop. Power Query, DAX, M. Helps with DP-600","Phillip Burton • over one million students so far, I Do Data Limited","Rating: 4.6 out of 5
4.6
(36,828)","Current price
$94.99","30 total hours
322 lectures
Beginner",2
"GCP Associate Cloud Engineer - Google Cloud Certification
GCP ACE - Google Cloud Associate Cloud Engineer certification. Begin your Google Cloud Platform - GCP journey!",GCP ACE - Google Cloud Associate Cloud Engineer certification. Begin your Google Cloud Platform - GCP journey!,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect","Rating: 4.6 out of 5
4.6
(36,344)","Current price
$99.99","19 total hours
313 lectures
All Levels",2
"Six Sigma: Certified Lean Six Sigma Yellow Belt (Accredited)
Lean Six Sigma Yellow Belt (Accredited) | Master Six Sigma Yellow Belt, Minitab & Yellow Belt Case Study | Earn 8 PDUs","Lean Six Sigma Yellow Belt (Accredited) | Master Six Sigma Yellow Belt, Minitab & Yellow Belt Case Study | Earn 8 PDUs",Advanced Innovation Group Pro Excellence (AIGPE),"Rating: 4.6 out of 5
4.6
(36,092)","Current price
$79.99","8 total hours
218 lectures
Beginner",2
"TOTAL: CompTIA Network+ (N10-009) + Practice Exam
Everything you need to pass the CompTIA Network+ Exam (N10-009) from Mike Meyers, Joe Ramm, and Lyndon Williams!","Everything you need to pass the CompTIA Network+ Exam (N10-009) from Mike Meyers, Joe Ramm, and Lyndon Williams!","Total Seminars Over 1 Million Enrollments, Mike Meyers","Rating: 4.6 out of 5
4.6
(34,349)","Current price
$79.99","19 total hours
145 lectures
All Levels",2
"AZ-204 Developing Solutions for Microsoft Azure
The most complete course available on the Microsoft Azure developer exam AZ-204 with timed practice test.",The most complete course available on the Microsoft Azure developer exam AZ-204 with timed practice test.,"Scott Duffy • 1.000.000+ Students, Software Architect.ca","Rating: 4.5 out of 5
4.5
(34,191)","Current price
$84.99","8 total hours
93 lectures
Intermediate",2
"AZ-900: Microsoft Azure Fundamentals Original Practice Tests
Six complete timed practice tests for AZ-900 Azure Fundamentals exam, 300 questions, 100% original material","Six complete timed practice tests for AZ-900 Azure Fundamentals exam, 300 questions, 100% original material","Scott Duffy • 1.000.000+ Students, Software Architect.ca","Rating: 4.6 out of 5
4.6
(33,719)","Current price
$64.99","300 questions
Beginner",2
"AZ-900 Bootcamp: Microsoft Azure Fundamentals (MARCH 2026)
Pass the AZ-900 Microsoft Azure Fundamentals Exam with This Comprehensive AZ-900 Exam-Prep Course with AZ-900 Labs",Pass the AZ-900 Microsoft Azure Fundamentals Exam with This Comprehensive AZ-900 Exam-Prep Course with AZ-900 Labs,"Thomas Mitchell | 239,000+ Students Taught","Rating: 4.6 out of 5
4.6
(31,399)","Current price
$89.99","7.5 total hours
100 lectures
Beginner",2
"AWS Certified Solutions Architect Associate Practice Exams
Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests for SAA-C03 topics!",Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests for SAA-C03 topics!,"Jon Bonso AWS Generative AI Developer, AWS Certified Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer","Rating: 4.5 out of 5
4.5
(29,672)","Current price
$74.99","390 questions
All Levels",2
